Date;Localisation;ESR;Type
04/05/2016;Blainville Damelevieres;non;Talonnage d’aiguille ou bivoie
20/04/2016;Entre Regny et Amplepuis;oui;Expédition sans ordre
08/04/2016;Toulouse;non;Porte ouverte en ligne
18/04/2016;Paris Est;non;Engagement de gabarit suite à désemparement de pièce
28/03/2016;Bretigny;non;Dérive
17/03/2016;Sartrouville;oui;Collision contre obstacle
10/02/2016;Entre Montluel et Meximieux;oui;Expédition sans ordre
15/03/2016;Dax;oui;Modification intempestive d'itinéraire
05/04/2016;Chapeauroux;non;Talonnage d’aiguille ou bivoie
20/03/2016;Jarville;non;Franchissement de signal
12/03/2016;Paris Saint Lazare;non;Départ sans autorisation
28/03/2016;Entre Fourneaux et Aubusson;non;Collision contre obstacle
10/03/2016;Auxonne;non;Engagement de gabarit
22/03/2016;Ermont-Eaubonne;oui;Défaut géométrie voie
10/06/2016;Bedous;non;Incident grave de passage à niveau
17/06/2016;Viroflay-rive-gauche;oui;Incendie dans un train
09/06/2016;Golfe de Fos;non;Non mise en protection
11/06/2016;Autigny-le-Grand;ND;Collision contre obstacle à un passage à niveau
18/06/2016;Eparcieux Saint Paul;non;Raté de fermeture à un passage à niveau
06/06/2016;Entre les Aubrais et Toury;non;Porte ouverte en ligne
20/09/2017;CORBIE;oui;Erreur de procédure
10/10/2017;TRONSANGES;oui;Collision contre obstacle à un passage à niveau
18/09/2017;GEVREY;non;Déraillement
07/09/2017;BEAUNE;oui;Dépassement de vitesse supérieur à 40km/h
30/10/2017;NEUFCHÂTEAU;oui;Erreur de procédure
02/10/2017;COSNE;oui;Défaut géométrie voie
24/10/2017;CAZERES SUR GARONNE;oui;Talonnage d’aiguille ou bivoie
02/10/2017;BIARRITZ et BAYONNE;oui;Défaut géométrie voie
01/10/2017;TECHNICENTRE DE PARIS AUSTERLITZ;non;Accident du travail
16/10/2017;INFRAPOLE MIDI PYRENNEES;non;Accident du travail
06/01/2018;BOURG EN BRESSE;oui;Défaillance voie
27/02/2018;SANTEUIL LE PERRON;oui;Sortie intempestive ou engagement d’un domaine fermé
18/02/2018;LEROUVILLE;oui;Franchissement de signal
12/12/2017;BEAUNE;non;Incendie dans un train
03/01/2018;VILLENEUVE LES MAGUELONNE;oui;Erreur de procédure
25/01/2018;Entre VALENCE et ROMANS;oui;Talonnage d’aiguille ou bivoie
29/01/2018;PARIS-CHAPELLE;oui;Erreur de procédure
03/12/2017;MIRAMAS;oui;Erreur de procédure
09/01/2018;JUVISY;oui;Collision contre obstacle
22/02/2018;ABLON;oui;Incendie dans un train
07/07/2017;GAGNY;oui;Mouvement en sens inverse du sens normal
18/08/2017;SAUSSET-LES-PINS;oui;Réception intempestive sur voie occupée
13/07/2017;CULOZ;oui;Franchissement de signal
11/09/2017;GRAFFENSTADEN;oui;Dégagement intempestif du domaine fermé
11/09/2017;CARENTAN;oui;Erreur de procédure
04/07/2017;TARARE;non;Incendie dans un train
27/07/2017;Bayonne;oui;Défaut géométrie voie
04/09/2017;SAINT NOM LA BRETECHE;oui;Pénétration intempestive sur domaine fermé
03/02/2015;Solliès Pont;non;Déraillement sans engagement de la voie principale
06/02/2015;Ancenis;non;Déraillement sans engagement de la voie principale
04/02/2015;Givors;non;Talonnage d’aiguille ou bivoie
12/05/2015;Le Treport-Mers-les-Bains;oui;Accostage brutal
21/05/2015;Luneville;non;Dérive
26/05/2015;Le Petit Therain;non;Déraillement sans engagement de la voie principale
25/05/2015;Perigueux;non;Collision entre trains ou éléments de trains
20/05/2015;Neudorf;non;
22/05/2015;Miramas;oui;Mise en œuvre de travaux en dehors du domaine fermé
28/05/2015;Dieulouard;non;Talonnage d’aiguille ou bivoie
15/05/2015;Strasbourg Gare Haute;non;Déraillement sans engagement de la voie principale
21/05/2015;Entre Redessant et Manduel;non;Collision contre obstacle
13/05/2015;Strasbourg;non;Perte d’organe du matériel roulant
19/03/2015;Laon;oui;Dérive
28/03/2015;Entre Bourg St Andéol et Le Teil;oui;Raté de fermeture à un passage à niveau
27/03/2015;Calais;oui;Franchissement de signal
21/03/2015;Fos-sur-Mer;oui;Dépassement de vitesse supérieur à 40km/h
20/03/2015;Nice;non;Franchissement de signal
18/03/2015;Metz ville;non;Réception intempestive sur voie occupée
26/03/2015;Nuits-sous-Ravières;non;Talonnage d’aiguille ou bivoie
28/03/2015;Entre Bourg-St-Andéol et Pont-St-Esprit;oui;Raté de fermeture à un passage à niveau
24/03/2015;Petit Therain;non;Déraillement sans engagement de la voie principale
19/03/2015;Reims Betheny;non;Déraillement sans engagement de la voie principale
15/08/2015;Paris Montparnasse;oui;Dérive
18/08/2015;Paris Saint-Lazare;oui;Franchissement de signal
04/09/2015;Byans;oui;Dépassement de vitesse supérieur à 40km/h
23/08/2015;Folligny;non;Circulation de véhicule non autorisée
01/09/2015;Mont de Terre;non;Engagement de gabarit suite à désemparement de pièce
14/08/2015;Entre Paris Magenta et Paris Hausmann Saint Lazare;non;Autre
27/08/2015;Saint-Germain au Mont d'Or;non;Engagement de gabarit suite à désemparement de pièce
27/08/2015;Saint-Benoît;oui;Défaillance voie
30/07/2015;Sibelin;oui;Incident de marchandise dangereuse
07/08/2015;Condé sur Huisne;non;Collision contre obstacle à un passage à niveau
27/07/2015;Vert Galant;oui;Incendie dans un train
21/07/2015;Lyon Vaise;oui;Défaillance voie
21/07/2015;Nîmes;oui;Défaillance voie
30/07/2015;Rochy-Condé;non;Défaut géométrie voie
03/08/2015;Pont de Claix;non;Accident de personne
05/08/2015;Entre Varilhes et Pamiers;oui;Dépassement de vitesse supérieur à 40km/h
30/07/2015;EP de Jessains;non;Collision
03/08/2015;Entre Thouars et Beuxes;oui;Défaillance voie
17/06/2015;Narbonne;oui;Dépassement de vitesse supérieur à 40km/h
09/06/2015;Clermont-Ferrand;non;Talonnage d’aiguille ou bivoie
10/06/2015;Pasilly;oui;Dépassement de vitesse supérieur à 40km/h
02/06/2015;La Mothe Achard;non;Talonnage d’aiguille ou bivoie
08/06/2015;Colomiers;non;Déshuntage
21/06/2015;Aulnay sous Bois;oui;Franchissement de signal
21/06/2015;Saint-Jean Maurienne;non;Boîte chaude
12/06/2015;Chambéry;non;Perte d’organe du matériel roulant
13/06/2015;Septemes;oui;Incendie dans un train
22/06/2015;Saint-Die des Vosges;non;Défaillance voie
08/07/2015;Gare de Courtalain;oui;Sortie intempestive ou engagement d’un domaine fermé
14/07/2015;Gare saint lazare;non;Incident grave
08/07/2015;Entre Achères Ville et Eragny Neuville;non;Incident grave de signalisation
22/06/2015;Grenoble;non;Talonnage d’aiguille ou bivoie
08/07/2015;Hourcade;non;Collision entre trains ou éléments de trains
30/06/2015;Hourcade;non;Franchissement de signal
02/07/2015;La Penne sur Huveaune;oui;Incendie dans un train
07/07/2015;La Ferte Milon;non;Talonnage d’aiguille ou bivoie
08/07/2015;Vigneux-sur-Seine;oui;Incendie dans un train
01/07/2015;Vichy;oui;Défaillance voie
05/05/2015;Claveyson;non;Erreur grave de procédure
05/05/2015;Pantin;non;Franchissement de signal
23/04/2015;Villeneuve Saint Georges Triage;non;Départ sans autorisation
07/04/2015;Biarritz;non;Déraillement
18/04/2015;Munster;non;Franchissement de signal
06/05/2015;Achére Triage - Dépôt;non;Déraillement sans engagement de la voie principale
20/04/2015;Longueau;non;Franchissement de signal
10/04/2015;Fos Coussoul;non;Incendie dans un train
17/04/2015;Toulouse;non;Départ sans autorisation
22/04/2015;Entre Fos Coussoul et Lavalduc;oui;Défaillance voie
25/02/2015;Tonnerre;non;Franchissement de signal
20/02/2015;Entre Vénisieux et Bourgoin Jallieu;oui;Incendie dans un train
19/02/2015;Toulouse Poste 3;non;Point limite d’un pantographe dépassé par une circulation électrique
07/02/2015;TGV Haute Picardie;oui;Accident de personne
13/02/2015;Lille Délivrance;non;Réception intempestive sur voie occupée
23/02/2015;Bossey;non;Incident caténaire
09/02/2015;Bordeaux;non;Réception intempestive sur voie occupée
19/02/2015;Famechon;non;Quasi accident de travail
09/02/2015;entre Villennes sur Seine & Poissy;non;Boîte chaude
16/02/2015;Montluçon-Eau;non;Déraillement sans engagement de la voie principale
03/03/2015;Castre;non;Expédition sans ordre
25/02/2015;Tarare;non;Expédition sans ordre
08/03/2015;Vaires;non;Non respect du point d’arrêt
26/02/2015;Lyon Technicente;non;Franchissement de signal
03/03/2015;Joncherolles;non;Franchissement de signal
12/03/2015;Luxembourg;oui;Franchissement de signal
09/03/2015;Heming;non;Talonnage d’aiguille ou bivoie
02/03/2015;Valenciennes;oui;Défaillance voie
27/02/2015;Grenoble;non;Dégagement de fumée sur matériel roulant
27/02/2015;Port La Nouvelle;non;Déraillement sans engagement de la voie principale
15/09/2015;Le Mans;oui;Sortie intempestive ou engagement d’un domaine fermé
15/09/2015;Metz ville;non;Franchissement de signal
18/11/2015;Berchette;non;Incident grave de signalisation
23/11/2015;Grenoble;non;Reception sur voie non-electrifiée
04/11/2015;Entre Romans et Valence;oui;Raté de fermeture à un passage à niveau
04/11/2015;Luxembourg-Ville (Luxembourg);oui;Franchissement de signal
09/11/2015;Maurs;oui;Défaillance voie
26/11/2015;Thionville;oui;Sortie intempestive ou engagement d’un domaine fermé
13/11/2015;Saint-Ouen;oui;Dérive
16/12/2016;BRETIGNY;non;Expédition sans ordre
29/11/2016;MONFERRAN;non;Collision contre un obstacle à un passage à niveau
25/01/2017;ENTRE RUELLE ET ANGOULEME;oui;Erreur de procédure
16/01/2017;MONTPELLIER;oui;Franchissement de signal
29/12/2016;CALAIS FRETHUN;non;Dégagement intempestif du domaine fermé
25/01/2017;SAINT-EULALIE;oui;Avarie matériel roulant
09/01/2017;GARE DE TARPPES;non;Franchissement de signal
09/01/2017;STRASBOURG;oui;Porte ouverte en ligne
04/01/2017;SALSES;non;Marchandises dangereuses
04/01/2017;STRASBOURG;non;Erreur de procédure
02/01/2017;STRASBOURG;non;Heurt au croisement
30/01/2017;GREZAN;non;Accident du travail
12/10/2016;ENTRE VILLIERS NEAUPHLE ET PLAISIR GRIGNON;oui;Collision entre trains ou éléments de trains
13/10/2016;CREIL;oui;Talonnage d’aiguille ou bivoie
11/10/2016;ENTRE BEZIERS et NARBONNE;non;Mise en œuvre de travaux en dehors du domaine fermé
27/09/2016;VEYNES DEVOLOUY;oui;Défaut ayant conduit à un risque grave
06/10/2016;OIGNIES;non;Collision
30/09/2016;L'ARDOISE;non;Raté de fermeture à un passage à niveau
29/09/2016;BOULOURIS;non;Perte d’organe du matériel roulant
03/09/2016;BEAUVOIR;non;Dépassement de vitesse supérieur à 40km/h
18/10/2016;CHÂTEAU-THIERRY;oui;Défaut géométrie voie
04/10/2016;BECON LES BRUYERES;oui;Défaut géométrie voie
29/11/2016;LAROCHE MIGENNES;oui;Franchissement de signal
09/11/2016;PARIS SAINT-LAZARE;non;Erreur grave de procédure
17/11/2016;LE MANS;oui;Engagement intempestif d’une circulation sur une voie protégée
02/11/2016;ANDELOT;oui;Déshuntage
01/12/2016;SAINT SAVIOL;non;Mise en œuvre de travaux en dehors du domaine fermé
12/10/2016;ENTRE SETE ET AGDE;non;Erreur grave de procédure
09/11/2016;DUNKERQUE;non;Dérive
12/11/2016;MORBIER;non;Glissement de Terrain
23/11/2016;TECHNICENTRE BRETAGNE;non;Perte d’organe du matériel roulant
24/11/2016;BORDEAUX;oui;Défaut géométrie voie
08/07/2016;Ris-Orangis;oui;Déraillement
04/08/2016;Givors;oui;Incident de frein
18/08/2016;Lyon;non;Erreur de procédure
31/07/2016;Paris Saint-Lazare;non;Départ sans autorisation
03/07/2016;Rosa Parks;oui;Accident de personne
19/07/2016;Poitiers;non;Erreur de procédure
25/08/2016;Armentières;oui;Défaillance voie
20/07/2016;Poitiers;non;Erreur de procédure
19/08/2016;Onzain;non;Arrêt hors de quai de tout ou partie d’un train de voyageurs
01/07/2016;Saint Jean de Maurienne;non;Déraillement sans engagement de la voie principale
30/08/2016;AIX LES BAINS;non;Porte ouverte en ligne
20/09/2016;PONTOISE;non;Dégagement intempestif du domaine fermé
21/09/2016;SAINT-EPVRE;non;Défaut géométrie voie
24/08/2016;Villeneuve Saint Georges;non;Déraillement
05/09/2016;LA CALADE EGUILLES;non;Collision contre un obstacle à un passage à niveau
27/08/2016;Somain;non;Déraillement
09/09/2016;CHAPONVAL;non;Chute de voyageur
19/09/2016;BRETIGNY;oui;Défaut géométrie voie
21/09/2016;MIRAMAS;oui;Déraillement
26/08/2016;Angouleme;non;Erreur de procédure
03/02/2016;Montrejean;oui;Engagement intempestif d’une circulation sur une voie protégée
14/01/2016;Beuveille;oui;Collision contre obstacle à un passage à niveau
12/01/2016;Toulon;oui;Collision contre obstacle
18/01/2016;LGVA Dollon;non;Engagement intempestif d’une circulation sur une voie protégée
29/01/2016;Monts;oui;Incendie dans un train
26/01/2016;Paris Gare de Lyon;oui;Incident grave de signalisation
05/01/2016;Saverne;non;Collision contre obstacle
07/01/2016;Paris Saint Lazare;non;Erreur de procédure
10/02/2016;Angoulème;oui;Défaut géométrie voie
06/02/2016;Entre Issoire et Clermont-Ferrand;oui;Dépassement de vitesse supérieur à 40km/h
16/11/2015;Gare de Paris Austerlitz - Massena;non;Franchissement de signal
02/12/2015;Entre Neau et Montsurs;oui;Raté de fermeture à un passage à niveau
07/11/2015;Reigner;non;Défaillance voie
12/11/2015;Blaisy-bas;non;Collision contre obstacle
20/12/2015;Saulxures;oui;Collision contre obstacle
20/11/2015;Gare de l'Estaque;oui;Défaillance voie
27/11/2015;Gare de Paris Montparnasse;non;Expédition sans ordre
08/12/2015;Gare de Sartrouville;non;Mise en œuvre de travaux en dehors du domaine fermé
12/11/2015;Plaisir Grignon;non;Défaillance voie
10/11/2015;Entre Strasbourg et Selestat;non;porte ouverte en ligne
12/10/2015;Sainte Pazanne;oui;Déraillement
16/10/2015;Esman;oui;Collision contre obstacle à un passage à niveau
17/10/2015;Entre Sète et le Castellas;oui;Délivrance d’un bulletin de franchissement sans vérification
09/10/2015;Entre Trêves Burel et Givors Ville;non;Raté de fermeture à un passage à niveau
19/10/2015;Somain;oui;Déraillement
02/11/2015;Millau;oui;Incident grave de signalisation
28/10/2015;Saint Romain le Puy;non;Collision entre trains ou éléments de trains
28/10/2015;Paris est;non;Engagement de gabarit suite à désemparement de pièce
30/10/2015;Pontchateau;oui;Défaillance voie
03/11/2015;Paris Gare de Lyon;oui;Incendie dans un train
19/04/2016;Lattes;non;Mise en œuvre de travaux en dehors du domaine fermé
14/04/2016;Coursan;non;Erreur d’itinéraire
03/04/2016;Mâcon;non;Défaillance voie
13/04/2016;Châlons-en-Champagne;non;Franchissement de signal
14/04/2016;Entre Aiguebelle et Chamousset;oui;Mise en œuvre de travaux en dehors du domaine fermé
15/04/2016;Gare de Chartres;non;Expédition sans ordre
15/04/2016;Marans;oui;Délivrance d’un bulletin de franchissement sans vérification
05/04/2017;Entre JAUNAY et DISSAY;oui;Incident grave
04/04/2017;ZONE DE CHANTIER DE DISSAY ENTRE JAUNAY ET DISSAY;non;Incident grave
27/03/2017;BRETIGNY POSTE A;non;Engagement intempestif d’une circulation sur une voie protégée
03/04/2017;ENTRE GRAMAT et FIGEAC;non;Défaillance d'ouvrage
23/03/2017;NC;non;Electrisation
29/03/2017;SITE DE MAINTENANCE ET DE REMISAGE DE VERSAILLES CHANTIERS;non;Quasi accident de travail
30/03/2017;TUNNEL DU COL DE BRAUS;non;Défaillance voie
31/03/2017;ERSTEIN;non;Avarie matériel roulant
04/04/2017;DELLE;non;Défaillance d'ouvrage
06/02/2018;ROISSY;oui;Porte ouverte en ligne
03/01/2018;SAINT HILAIRE DE LUSIGNAN;oui;Défaut ayant conduit à un risque grave
22/05/2017;PARIS NORD;oui;Dérangement des installations de sécurité
13/06/2017;HOURCADIE;oui;Pénétration intempestive sur domaine fermé
12/06/2017;PARIS-EST;non;Dérive
27/06/2017;SAINT JEAN-DE-MAURIENNE;oui;Déraillement
26/06/2017;SENS;non;Franchissement de signal
21/06/2017;PUY IMBERT;non;Collision entre trains ou éléments de trains
16/06/2017;GEVREY;non;Franchissement de signal
28/05/2017;Entre SENS et PONT Sur YONNE;oui;Dépassement de vitesse supérieur à 40km/h
15/06/2017;Entre Montereau et ST FLORENTIN;non;Accident du travail
13/06/2017;Technicentre de LYON;non;Electrisation
20/06/2017;Infrapôle de PN;non;Electrisation
07/08/2017;VAIRES sur MARNES;non;Franchissement de signal
09/08/2017;ARMENTIERES;non;Engagement intempestif d’une circulation sur une voie protégée
08/08/2017;TROIS-PUITS;non;Franchissement de signal
24/09/2017;LYON PART DIEU;oui;Erreur de procédure
16/08/2017;SAALES;non;Déraillement
12/09/2017;CHAMPAGNEY;oui;Raté de fermeture à un passage à niveau
11/08/2017;Entre STRASBOURG et KEHL;non;Erreur de procédure
07/08/2017;Technicentre Sud-Est Européen;non;Electrisation
20/09/2017;TECHNICENTRE ROMILLY;non;Accident du travail
17/08/2017;PARIS-EST;oui;Porte ouverte en ligne
17/04/2017;VILLENEUVE PRAIRIE;non;Départ sans autorisation
06/04/2017;CAZERES SUR GARONNE;oui;Erreur de procédure
12/04/2017;Entre CHEMILLE et LA JUMELLIERE;oui;Dépassement de vitesse supérieur à 40km/h
17/04/2017;CHATILLON;non;Talonnage d’aiguille ou bivoie
08/04/2017;TOULON;non;Erreur de procédure
07/04/2017;QUEYVRAC;non;Collision
10/04/2017;TECHNICENTRE De Paris Rive Gauche;non;Electrisation
07/04/2017;THIVIERS;non;Franchissement de signal
07/04/2017;SENS;non;Accident du travail
13/04/2017;LA POMME;non;Point limite d’un pantographe dépassé par une circulation électrique
07/11/2017;NEMOURS;oui;Erreur de procédure
12/10/2017;AMAGNE;oui;Déraillement
08/11/2017;BIBLIOTHEQUE FRANCOIS MITTERAND;oui;Collision
13/10/2017;TECHNICENTRE ATLANTIQUE;non;Collision entre trains ou éléments de trains
06/10/2017;AMIENS;oui;Franchissement de signal
09/11/2017;TECHNICENTRE EST EUROPEEN;non;Accident du travail
02/11/2017;entre PONT L'EVEQUE et TROUVILLE DEAUVILLE;oui;Déraillement
18/10/2017;INFRAPOLE LGV SUD-EST EUROPEEN;non;Accident du travail
26/10/2017;INFRALOG CENTRE;non;Accident du travail
23/10/2017;SUGE - DZS SUD-OUEST;non;Accident du travail
04/05/2018;AMAGNE-LUQUY;oui;Dépassement de vitesse supérieur à 40km/h
24/03/2018;BONDY;oui;Franchissement de signal
21/03/2018;CHALONS EN CHAMPAGNE;oui;Déraillement
28/02/2018;SERQUIGNY;oui;Porte ouverte en ligne
01/08/2017;VERSAILLES;oui;Erreur de procédure
20/07/2017;NOGENT LE ROTROU;oui;Franchissement de signal
13/08/2017;PARIS-EST;oui;Franchissement de signal
17/07/2017;Saint Florentin;oui;Franchissement de signal
07/07/2017;TECHNICENTRE EST-EUROPEEN;non;Collision entre trains ou éléments de trains
21/07/2017;VALENTON;non;Accident du travail
22/07/2017;SERMAISE;non;Quasi accident de travail
10/08/2017;MULHOUSE-NORD;oui;Incident de marchandise dangereuse
01/08/2017;PIERRE BUFFIERE;oui;Erreur de procédure
29/06/2017;LIMOGES;non;Collision entre trains ou éléments de trains
22/01/2018;LEZIGNAN;oui;Erreur de procédure
11/02/2018;LA BASTIDE SAINT LAURENT LES BAINS;oui;Talonnage d’aiguille ou bivoie
23/01/2018;NOVILLARS;oui;Dépassement de vitesse supérieur à 40km/h
14/02/2018;SAINT MEDARD D'EYRANS;oui;Non mise en protection
19/01/2018;LYON SCARONNE;oui;Talonnage d’aiguille ou bivoie
01/03/2018;SONGY;oui;Déraillement
29/01/2018;MULHOUSE;oui;Franchissement de signal
29/01/2018;PARIS AUSTERLITZ;oui;Dérive
23/01/2018;STRASBOURG;oui;Non conformité du matériel roulant
03/11/2017;PARIS BERCY;non;Collision par prise en écharpe
20/12/2017;MIRABEAU;oui;Erreur de procédure
19/11/2017;LAPEYROUSE;non;Déshuntage
23/11/2017;BREAUTE;non;Franchissement de signal
27/11/2017;AMBERIEU;oui;Erreur de procédure
18/11/2017;TGV SUD EST;oui;Dépassement de vitesse supérieur à 40km/h
20/11/2017;GOLFECH;oui;Dépassement de vitesse supérieur à 40km/h
17/11/2017;REUGNY;oui;Défaut géométrie voie
14/11/2017;BAYONNE;non;Collision contre obstacle
28/12/2017;AMBOISE;oui;Boîte chaude
31/12/2014;Cerbère;non;Franchissement de signal
08/01/2015;Marseille Blancarde;non;Collision par prise en écharpe
23/12/2014;Entre Moult Argences et Frénouville Cagny;non;Collision contre obstacle
23/12/2014;Entre Bretteville Norrey et Caen;non;Collision contre obstacle
23/12/2014;Saincaize;non;Dégagement de fumée sur matériel roulant
08/01/2015;Nevers;non;Déraillement sans engagement de la voie principale
25/12/2014;Pont à Mousson;non;Collision contre obstacle
27/12/2014;Entre Err et St Léocadie;non;Défaillance voie
08/01/2015;Noisy le Sec;non;Talonnage d’aiguille ou bivoie
22/12/2014;Bordeaux Dépôt;non;Collision contre obstacle
04/02/2015;Toul;non;Délivrance d’un bulletin de franchissement sans vérification
29/01/2015;Paris Saint Lazare;non;Départ sans autorisation
22/01/2015;St Etienne Chateaucreux;non;Réception intempestive sur voie occupée
02/02/2015;Argenteuil;non;Déraillement sans engagement de la voie principale
05/02/2015;Vaires;non;Talonnage d’aiguille ou bivoie
02/02/2015;St Denis près Martel;non;Talonnage d’aiguille ou bivoie
30/01/2015;Casino Lacroix Laval;non;Perte d’organe du matériel roulant
26/01/2015;Dreux;non;Franchissement de signal
04/09/2015;Entre Nancy et Saint-Die;oui;Raté de fermeture à un passage à niveau
06/12/2015;Guingamp;oui;Incident grave de signalisation
16/12/2015;Le Mans;oui;Déraillement
30/12/2015;Sarrebourg;non;Déraillement sans engagement de la voie principale
22/12/2015;Reignac;non;Collision contre obstacle
03/12/2015;Melun;oui;Franchissement de signal
02/12/2015;Chalôns en Champagne;non;Collision contre obstacle
28/12/2015;Lille Délivrance;non;Talonnage d’aiguille ou bivoie
26/05/2015;Rennes;oui;Franchissement de signal
06/05/2015;Valence TGV;non;Perte d’organe du matériel roulant
26/05/2015;Ancy le Franc;oui;Incendie dans un train
05/05/2015;Entre Sin le Noble et Cambrai;oui;Défaillance voie
21/05/2015;Epinay Villetaneuse;oui;Défaillance voie
04/02/2015;Bordeaux;non;Collision entre trains ou éléments de trains
05/02/2015;Ludres;oui;Accident de personne
05/02/2015;Phalempin;non;Porte ouverte en ligne
06/02/2015;Laqueuille;non;Non respect du point d’arrêt
06/02/2015;Batignolles;non;Départ sans autorisation
30/01/2015;Boran Sur Oise;oui;Raté de fermeture à un passage à niveau
08/02/2015;Le Landy;non;Accident du travail
05/02/2015;Joncherolles;non;Déraillement sans engagement de la voie principale
31/01/2015;Asnières;non;Talonnage d’aiguille ou bivoie
05/02/2015;Puyoo;non;Talonnage d’aiguille ou bivoie
21/09/2015;Monterolier Buchy;oui;Sortie intempestive ou engagement d’un domaine fermé
17/09/2015;Sibelin;oui;Matières dangereuses
09/09/2014;Lyon Vaise;non;Franchissement de signal
03/09/2014;Chambéry;non;Franchissement de signal
06/09/2014;Rennes;non;Franchissement de signal
31/08/2014;Sibelin;non;Réception intempestive sur voie occupée
27/08/2014;Corbeil Essonnes;non;Départ sans autorisation
28/08/2014;Entre Veauche et Montrond les Bains;oui;Dépassement de vitesse supérieur à 40km/h
27/08/2014;Etampes;non;Franchissement de signal
03/09/2014;Entre Landébia et Lamballe;oui;Collision contre obstacle à un passage à niveau
28/08/2014;Montluçon;non;Incendie dans un train
08/09/2014;Vaires Torcy;oui;Défaillance voie
23/09/2014;St Germain au Mont d’Or;non;Collision contre obstacle
29/09/2014;Petit Thérain;non;Déraillement sans engagement de la voie principale
23/09/2014;Lyon Perrache;non;Franchissement de signal
04/10/2014;Paris St Lazare;non;Collision avec enfoncement de heurtoir
23/09/2014;Paris Montparnasse;oui;Accident du travail
03/10/2014;Paris Batignolles;non;Point limite d’un pantographe dépassé par une circulation électrique
09/10/2014;Lagny Thorigny;non;Collision contre obstacle
01/10/2014;Rennes;non;Franchissement de signal
03/10/2014;Petit Thérain;non;Talonnage d’aiguille ou bivoie
26/09/2014;Bois Colombes;non;Collision contre obstacle
28/10/2014;Les Aubrais;non;Engagement intempestif d’une circulation sous caténaire consignée
30/10/2014;St Denis;non;Franchissement de signal
30/10/2014;Lannemezan;non;Collision contre obstacle à un passage à niveau
21/10/2014;Entre Montchanin et Chagny;oui;Incident grave de signalisation
27/10/2014;Laon;non;Déraillement sans engagement de la voie principale
23/10/2014;Paris St Lazare;non;Départ sans autorisation
03/11/2014;Miramas;non;Collision entre trains ou éléments de trains
29/10/2014;Les Tines;non;Défaillance voie
22/10/2014;Chambéry;non;Franchissement de signal
04/11/2014;Yvetot;non;Dérive
21/10/2014;Marseille Arenc;non;Acte de malveillance
13/10/2014;Clermont Ferrand;oui;Franchissement de signal
14/10/2014;Strasbourg;non;Talonnage d’aiguille ou bivoie
17/10/2014;Châtel Nomexy;oui;Accident de personne
14/10/2014;Montpellier;non;Réception intempestive sur voie occupée
15/10/2014;Avignon Fontcouverte;non;Déraillement sans engagement de la voie principale
21/10/2014;Thionville;non;Talonnage d’aiguille ou bivoie
10/10/2014;Entre Pantin et Noisy le Sec;oui;Défaillance voie
21/10/2014;Hourcade;non;Déraillement sans engagement de la voie principale
10/10/2014;St Pierre des Corps;non;Déraillement sans engagement de la voie principale
14/01/2015;Trappes;non;Point limite d’un pantographe dépassé par une circulation électrique
13/01/2015;Batignolles;non;Franchissement de signal
31/12/2014;Strasbourg;oui;Arrêt hors de quai de tout ou partie d’un train de voyageurs
11/01/2015;Nuits St Georges;non;Incident caténaire
13/01/2015;Lens Dépôt;non;Collision par prise en écharpe
10/01/2015;Rennes;non;Déraillement sans engagement de la voie principale
22/09/2014;Miramas;non;Franchissement de signal
09/09/2014;Béthune;non;Sortie intempestive ou engagement d’un domaine fermé
10/09/2014;Pont Cardinet;non;Non respect du point d’arrêt
09/09/2014;Marseille St Charles;non;Réception intempestive sur voie occupée
12/09/2014;Entre Paris Austerlitz et Bibliothèque;non;Porte ouverte en ligne
20/09/2014;Chalons en Champagne;non;Franchissement de signal
22/09/2014;Limoges;non;Collision entre trains ou éléments de trains
13/09/2014;Aulnay sous Bois;non;Franchissement de signal
18/09/2014;St Germain au Mont d’Or;non;Déraillement sans engagement de la voie principale
17/09/2014;Woippy Triage;non;Déraillement sans engagement de la voie principale
09/12/2014;Tende;oui;Franchissement de signal
08/12/2014;Gare de Champagne;non;Défaillance voie
16/12/2014;Gare de Paris St Lazare;oui;Dérive
09/12/2014;Vestric;non;Incident caténaire
15/12/2014;Bordeaux Technicentre;non;Déraillement sans engagement de la voie principale
07/12/2014;Laval;non;Accident de personne
11/12/2014;Lyon Brotteaux;non;Incident caténaire
08/12/2014;Vénissieux;non;Déraillement sans engagement de la voie principale
04/12/2014;Miramas;non;Collision entre trains ou éléments de trains
14/12/2014;Lyon Part Dieu;non;Talonnage d’aiguille ou bivoie
23/12/2014;Tourcoing;non;Composition non conforme
26/12/2014;Brive;non;Déraillement sans engagement de la voie principale
23/12/2014;Hourcade;non;Réception intempestive sur voie occupée
16/12/2014;Le Pouzin;non;Collision contre obstacle à un passage à niveau
22/12/2014;Entre Avoise PL et Noyen PL;non;Collision contre obstacle
17/12/2014;Perpignan;non;Déraillement sans engagement de la voie principale
17/12/2014;Lussac les Chateaux;non;Collision contre obstacle
29/12/2014;St Etienne Chateaucreux;non;Déraillement sans engagement de la voie principale
27/12/2014;Laifour;non;Collision contre obstacle
23/12/2014;Saintes;non;Collision contre obstacle
25/11/2014;Entre Paris St Lazare et Valognes;non;Composition non conforme
13/11/2014;Dax;oui;Franchissement de signal
14/11/2014;Génolhac;oui;Désordre d’ouvrage en terre
